wid,user_name,user_id,gender,publish_time,text,like_count,comment_count,forward_count
4910370415707033,人民网,2286908003,m,2023-06-08 14:50:00,【昨天走错考场，今天没赶上公交……#民警2天救助同一高考生#】#高考#第二天，广东佛山，一名考生急匆匆跑进@南海公安 分局狮山派出所求助，称其没赶上公交车，因没带手机又打不到车，希望能得到民警的帮助。而这名考生，曾在高考首日就走错考场求助过南海民警。好在警车最终按时抵达考场，考生对民警的再次救助表示感谢。南海公安的微博视频,1552,252,47
4910321187946965,新华社,1699432410,m,2023-06-08 11:34:23,【江西#渐冻症男孩高考被抱进考场#】#高考#首日，在江西萍乡安源中学考点，一位身患顽疾、行动有障碍的渐冻症男孩在多方爱心人士的帮助下，勇敢地站在了人生的“考场”。网友：有梦想谁都了不起！坚强的少年，加油！#高考第二天#（新华每日电讯） 新华社的微博视频,775,45,43
4910268209435557,新华网,2810373291,m,2023-06-08 08:03:52,【#哪一科是你当年的高考得分强项#】#高考第二天继续加油#，很多地方进入文综理综考试，还记得哪一科是你当年的高考得分强项？#高考# 网页链接,7944,124,31
4910436140974390,小牧说校园,2432318057,f,2023-06-08 19:11:09,#牧经夜聊##高考# 又一年高考结束之际 那时候大家的心情是怎样的呢,0,0,0
4910436140712996,一块小熊软糖zz,5937942716,f,2023-06-08 19:11:10,#高考#,0,1,0
4910435986571482,陕西大事小事,5872109838,m,2023-06-08 19:10:32,陕西大事小事【#75岁姥爷考场外开房车陪考外孙# 】#高考# 6月7日，陕西西安。75岁姥爷开房车在考场外等候正在高考的外孙。孩子姥爷称，开房车是想孩子中午可以在车里休息，不用走很远也不耽搁时间，今天和孩子妈妈一起来陪外孙，希望孩子可以发挥到最好，外孙学习很好，也对孩子很有信心。 白鹿视频的微博视频,0,0,0
4910435911077025,考研安心学长,7780384145,m,2023-06-08 19:10:15,分享一些语文作文万能开头结尾，真的太绝了 #高考加油##高考第二天##高考#,0,0,0
4910435780265713,爱喝果粒奶优位,7260981634,m,2023-06-08 19:09:44,#高考# 20年全国一数学，6个大题就完整写对了圆锥曲线和极坐标，至今想起来还贼难受，我真是鲨臂,0,1,0
4910435767682017,昭亭云月,7480948830,f,2023-06-08 19:09:41,#高考#咱就是说，考完了哈哈哈哈哈哈哈哈,0,0,0
4910435725740985,杜暘,2293260721,f,2023-06-08 19:09:31,谁还没个一举夺魁 #高考##旸日常#,0,0,0
4910435654700658,水母骑大象,6910027136,m,2023-06-08 19:09:14,梦碎了 #高考##新高考一卷英语#,1,3,0
4910435604372253,澎湃新闻,5044281310,m,2023-06-08 19:09:02,【南昌一考生开考15分钟后仍进入考场，考试院：暴雨堵路，向上级请示后采取措施】#官方回应江西考生迟到37分进考场# 据二三里资讯，6月8日，有网友发视频称#高考#9点开考，而江西南昌洪都中学考点有学生9点37分时仍能进入考场。考试院回应：下暴雨导致考生被堵，向上级请示后采取措施。 澎湃新闻的微博视频,4,1,1
4910435595198066,湘潭公安,3424054302,m,2023-06-08 19:09:00,【#女生拒绝帮助用双膝自信进考场# 拍摄者：很佩服她的坚强自信】#高考# 6月7日，河南洛阳。女生腿脚不便拒绝帮助用双膝自信进考场。视频拍摄者王女士称，女生下半肢可能是残疾，只能用膝盖走路，周围很多安保人员想帮忙，但女生仍然坚持自己进考场大门。过了安检门后，工作人员就把她抱上轮椅推进考场了。自己看到这一幕很心疼女生，但也非常佩服她，一些正常考生会因为压力而缺考，但这位女生却走出了坚强与自信。白鹿视频的微博视频,0,0,0
4910435595198066,湘潭公安,3424054302,m,2023-06-08 19:09:00,【#女生拒绝帮助用双膝自信进考场# 拍摄者：很佩服她的坚强自信】#高考# 6月7日，河南洛阳。女生腿脚不便拒绝帮助用双膝自信进考场。视频拍摄者王女士称，女生下半肢可能是残疾，只能用膝盖走路，周围很多安保人员想帮忙，但女生仍然坚持自己进考场大门。过了安检门后，工作人员就把她抱上轮椅推进考场了。自己看到这一幕很心疼女生，但也非常佩服她，一些正常考生会因为压力而缺考，但这位女生却走出了坚强与自信。白鹿视频的微博视频,0,0,0
4910435583394385,喝八杯水很简单,5456168019,f,2023-06-08 19:08:56,现在最羡慕的人 高考完的高三毕业生#高考#,0,1,0
4910435571337166,芽孢发芽啦,5900692222,f,2023-06-08 19:08:54,#高考# 服了去年数学哭着出来，今年轮到英语了是吧#高考英语#,3,1,0
4910435486930777,生活Video,6154333526,f,2023-06-08 19:08:34,【#高考生暖心回应高考后入伍愿望#：#这个国家有我想保护的人#】近日，广东深圳。男生立志#高考#后入伍当兵：“就希望考完高考之后入伍顺利吧！我去当兵的原因，大概就是这个国家有我想保护的人”。网友：这格局直接拉满 齐鲁晚报的微博视频 via.@齐鲁晚报,0,0,0
4910435452854752,祁萌不萌,6649672771,f,2023-06-08 19:08:26,非常正确 还能有什么可以伤害我 #高考英语##高考#,2,1,0
4910435423224151,一切与林有关,6339141564,f,2023-06-08 19:08:18,#高考#高考终于结束了但是各位大学生的四六级要准备开始了,0,0,0
4910435411955090,开明南low主,5280488025,m,2023-06-08 19:08:16,高考的五十个减速带确实意难平；22复读的考生破大防；就算大家都说23届理综简单，我也相信有人错过了这次机会…可能 也许这就是青春，只有抬头向前，脚踏实地才能不负这人生吧。#高考#,0,1,0
4910435406711650,一只靴子zzz,2906856767,f,2023-06-08 19:08:15,高考已经是六年前了，那时还没有流行以花束表达祝愿，也没有专门接送考生拉满条幅的大巴车，更不知道这场考试意味着什么，只记得考试前离校时注视男孩的女孩以及走出考点后男孩手掌的宽大。我的青春，与你有关❤#高考##青春#,0,1,0
4910435364511697,蛙蛙丫蛙蛙,2960600157,f,2023-06-08 19:08:05,祝大家都能够得偿所愿 高考加油站 校园 #高考# | #亿点曝光计划# | #视频制作人出道计划# 蛙蛙丫蛙蛙的微博视频,0,0,0
4910435264896338,一手Video,5943595658,m,2023-06-08 19:07:41,【#西安交警为高考英语打造静音考场# ：优化交通秩序20分钟，降低噪音】#2023高考名场面# 6月8日，陕西西安。#高考# 英语考试前，西安交警在考场外个别路段，优化交通指引，加强秩序维护，为考生打造“静音考场”。据悉，交通管制和交通限流持续了20分钟左右，最大限度地降低了噪音对考生的影响。@西部决策 西部决策的微博视频,0,0,0
4910435134082459,鹰城卫士-LISIR,5941830236,m,2023-06-08 19:07:10,#高考# 考的怎么样不重要，对得起自己的努力和付出就行。更重要的是家人的理解和支持 平顶山·河滨公园,1,0,0
